,Muffat-FMG__1,Muffat-FMG__2,Muffat-FMG__1-NCM,Muffat-NPC__1,Muffat-NPC__2,Muffat-NPC__3,Muffat-NPC__4,Muffat-pMGL__1,Muffat-pMGL__2,Muffat-pMGL__31,Muffat-pMGL__32,Muffat-pMGL__4,Muffat-pMGL__5,Muffat-pMGL__1-NCM,Muffat-pMGL__2-NCM,Muffat-pMGL__3-NCM
GPR146,37,20,71,30,72,73,71,78,60,35,36,26,145,87,98,19
RP11-449P15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091729.7,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0
AC091729.8,0,2,0,1,4,6,19,6,0,4,0,0,0,0,0,1
GPER1,98,273,201,299,179,798,70,1069,188,436,1526,109,320,954,63,224
ZFAND2A,832,1194,1537,6241,8792,3709,7520,868,559,1045,873,1296,1068,1472,836,1062
AC091729.9,217,252,241,339,579,864,611,281,273,237,206,187,393,464,143,178
UNCX,0,0,0,2,0,1,7,0,0,0,0,0,0,0,0,0
AC073094.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICALL2,206,358,592,1402,791,1441,765,505,598,1208,651,342,389,821,459,1027
AC102953.4,2,3,2,2,3,14,0,4,0,0,0,0,2,8,0,0
RP11-1246C19.1,0,10,1,5,4,64,0,11,1,4,8,0,0,7,2,0
INTS1,2125,3149,3201,2026,1520,1883,1488,5548,4877,5434,5047,3411,3959,3517,3483,6509
AC102953.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MAFK,134,227,161,26,89,56,34,67,157,101,89,84,109,90,170,144
TMEM184A,0,0,0,4,6,22,0,0,0,0,8,0,0,0,0,0
PSMG3,985,1340,1971,2502,2574,3117,2763,611,573,763,727,480,1071,1161,643,1098
AC093734.11,427,760,855,266,114,335,304,438,347,351,492,185,873,681,260,446
AC074389.4,0,1,3,3,4,1,6,1,2,2,0,0,1,0,1,0
AC074389.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELFN1,10,6,51,120,34,26,38,459,217,434,483,17,119,30,26,600
AC074389.7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
AC074389.6,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0
AC074389.9,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
MAD1L1,1928,3111,3914,2322,1712,2496,1666,4212,4934,3574,3728,3162,3570,3808,5488,3591
AC110781.3,0,0,0,29,0,0,0,6,6,0,0,0,10,0,36,10
MIR4655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
