,Jang-hESCs_Control_71,Jang-hESCs_Control_72,Jang-hESCs_Control_73,Jang-iPSCs_Control_74,Jang-iPSCs_Control_75,Jang-iPSCs_Control_76,Jang-iPSCs_AMN_77,Jang-iPSCs_AMN_78,Jang-iPSCs_AMN_79,Jang-iPSCs_CCALD_80,Jang-iPSCs_CCALD_81,Jang-iPSCs_CCALD_82
SDIM1,6.874864,6.899069,6.965847,6.896186999999999,6.699121000000001,6.889392999999999,7.011147,6.870713,7.02089,6.87873,6.686189,6.867561
SDK1,6.9137535,6.975623,6.843203,6.889341,6.834450500000001,6.7749665,6.7221839999999995,6.8346955000000005,6.8608970000000005,6.9167895,6.9197985,6.9471015
SDPR,6.404935,6.464287000000001,6.6381380000000005,6.3709690000000005,6.676874000000001,6.085408999999999,6.4555050000000005,6.508481,6.500201000000001,6.349583999999999,6.332654,6.358566000000001
SDR16C5,6.8335025,6.8688635,6.978896000000001,6.799525999999999,6.8556595,6.748825,6.800265,6.8061935,6.989258500000001,6.708391499999999,6.685519500000001,6.7196195
SDR39U1,6.7351175,6.804919,6.819528,6.648596,6.5960775,6.714316,6.7962905,6.572991,6.951875,6.698614999999999,6.6996615,6.8819155
SDR42E1,6.527702,6.4279945,6.6170265,7.198975,7.2245515,7.34076,7.368478,7.440287,7.769972999999999,7.23101,7.356151,7.080963000000001
SDR9C7,6.63837,6.726373,6.500164,6.7957410000000005,6.484241,6.77728,6.7329669999999995,6.5801229999999995,6.622000000000001,6.496025,6.70047,6.752667999999999
SDS,6.670843,6.761569000000001,6.749067,6.7197759999999995,6.630876,6.724741000000001,6.587728,6.492348000000001,6.691126,6.706992999999999,6.592884,6.65182
SDSL,7.623432000000001,7.2780119999999995,7.828082000000001,7.031381,7.241875,7.0274220000000005,7.967949000000001,7.873591,8.637456,6.997788000000001,7.217164,6.853764
SEBOX,6.4137,6.5028225,6.475112,6.4665995,6.447153500000001,6.4645715,6.554575999999999,6.561914,6.4638175,6.49196,6.4814955,6.4726995
SEC11A,12.725575,12.828507,12.943909,12.918563,12.893703,12.92712,12.716998,12.755953,13.053339,12.70602,12.652353,12.935618
SEC11C,10.552277,10.553711,10.518889999999999,10.391788,10.290476,10.611703,10.262346,10.339051,11.137692,10.545973,10.405831,10.343631
SEC13,11.074957000000001,10.890556,11.004266000000001,10.764465,10.781356500000001,10.850919000000001,10.762521000000001,10.7984185,11.1120695,11.07897,10.910344,11.057853999999999
SEC14L1,8.199505,8.061492,8.177135,7.962122999999999,8.234565,7.860385000000001,8.233611,8.211655,8.029608999999999,8.264467999999999,8.383622,8.368879
SEC14L1P1,7.4153270000000004,7.194375999999999,6.966761,7.164271,7.0594825,7.1083005,7.0075994999999995,7.0319205,6.777804,7.290445500000001,7.291691999999999,7.1160855
SEC14L2,6.470151,6.162372,6.458501,6.414077,6.4488389999999995,6.493419,6.3216529999999995,6.6012960000000005,6.613252,6.4602319999999995,6.48736,6.481558000000001
SEC14L3,6.834507,7.015246,6.915132000000001,6.88443,6.792471000000001,6.832363000000001,6.815613000000001,6.875909,6.8263229999999995,6.836011999999999,6.920980999999999,6.869673
SEC14L4,6.890092,7.293591999999999,7.158399,7.347705,7.234336999999999,7.456049,7.368233,7.358907,7.62673,7.235001,7.177747,7.016158
SEC14L5,7.8708175,8.045263,8.053022,7.819221000000001,7.892994,7.773274499999999,8.0573105,8.0213935,8.040465,8.143529,7.923856,8.194146
SEC16A,10.746253999999999,10.97101,10.776086,11.029937,10.821803,10.79466,11.255509,11.199226,10.593721,11.015338999999999,11.068499000000001,11.021703
SEC16B,6.477965,6.633547999999999,6.70337,6.442327,6.4973279999999995,6.426697,6.560759,6.552645,6.602947,6.380809999999999,6.614413000000001,6.657466
SEC1P,7.109595,7.1682619999999995,6.970408,7.038473,7.130978,7.137065,6.835375,7.059394999999999,7.195317999999999,7.040495,7.000135,6.937499000000001
SEC22A,8.950791,9.400165,9.35339,9.114071000000001,9.2839,8.970661,9.242656,8.997477,9.40926,8.737908000000001,9.003555,8.855081
SEC22B,8.871274,8.83873,8.661499000000001,9.444941,9.185797,8.831346,9.259095,9.095002000000001,8.76248,9.263617,9.489179,9.727915
SEC22C,8.847437,9.067377,9.144931,8.824078,8.880527,8.847714,8.868611,8.768671000000001,9.083126,8.699069999999999,8.715914,8.779855
SEC23A,7.536164,7.2540475,7.2272419999999995,7.3069964999999995,7.2825940000000005,7.102647999999999,6.827163499999999,6.964593499999999,7.1978065,7.4125375,7.1781335,7.2930215
