	Mouse_ABCD1_1	Mouse_ABCD1_2	Mouse_ABCD1_3	Mouse_NT_1	Mouse_NT_2	Mouse_NT_3
RP23-300F6.2	0	0	0	0	1.95959185071892	0
Mtm1	1593.43442218387	1484.43969186559	1598.46050995557	1264.03945196563	1356.0375606975	1450.3837821724
Mtmr1	687.464915651128	661.917135897539	695.889688201298	334.182200146253	337.049798323655	341.600562154846
Cd99l2	1637.75374957967	1801.00875686006	1848.75325884541	1500.98784811452	1657.81470570821	1788.57968756159
RP23-125F4.4	1.03068203246046	6.49848520516518	1.89615718855939	4.72008757268718	0.979795925359462	2.26977117710861
RP23-478M17.1	0	0	0	0	0	0
Gm23945	0	0	0	0	0	0
Hmgb3	788.471754832253	869.868662462824	911.103529102789	715.565276019377	732.887352168878	882.940987895251
Gpr50	0	0	1.89615718855939	0	0	0
RP23-304N5.1	0	0	0	0	0	0
Rpl30-ps10	28.8590969088929	13.9253254396397	17.0654146970346	15.104280232599	20.5757144325487	13.6186270626517
Vma21	596.764896794607	514.308686237358	747.085932292401	588.122911556823	601.59469817071	658.233641361498
Gm1141	12.3681843895255	9.28355029309311	7.58462875423758	3.77607005814975	13.7171429550325	2.26977117710861
Prrg3	0	0	0	0	0	0
Fate1	4.12272812984185	4.64177514654655	3.79231437711879	5.66410508722462	3.91918370143785	4.53954235421723
Cnga2	2.06136406492092	15.7820354982583	20.8577290741533	5.66410508722462	5.87877555215677	17.0232838283146
Magea4	0	0	0	0	0	0
RP23-169I24.2	2.06136406492092	0	0	0	0	0
Gabre	84.5159266617578	117.901088722282	106.184802559326	93.4577339392062	68.5857147751624	91.9257326728988
Mir224	0	0	0	0	0.979795925359462	0
Mir452	2.06136406492092	5.57013017585587	1.89615718855939	0	0	0
Magea10	0	0	0	0	0	0
Gabra3	0	0	1.89615718855939	0	0	0
RP23-272G10.2	2.06136406492092	0	0.948078594279697	0	0	1.13488558855431
Mir767	0	0	0	0	0	0
Mir105	0	0	0	0	0	0
Gm23461	0	0	0	0	0	0
RP23-188M14.1	0	0	0	0	0	0
Gabrq	0	0	0	0	0	0
Magea9-ps	0	0	0	0	0	0
Cetn2	585.427394437542	607.144189168289	648.485758487313	580.570771440523	631.968371856853	708.168607257887
Nsdhl	251.486415920353	353.703266166847	391.556459437515	162.371012500439	200.85816469869	208.818948293992
RP23-170B5.1	0	0	0	0	0	0
Zfp185	7.21477422722323	0.928355029309311	5.68847156567818	11.3282101744492	4.89897962679731	12.4837414740974
Mir2137	0	0	0	0	0	0
Pnma5	0	0	0	0	0	0
RP23-11C16.12	0	0	0	0	0	0
Pnma3	0	0	0	0	0	0
Xlr4a	0	0	0	0	0	0
Xlr3a	0	0	0	0	0	0
RP23-11C16.11	0	0	0	0	0	0
Xlr5a	0	0	0	0	0	0
RP23-11C16.8	0	0	0	0	0	0
RP23-11C16.9	0	0	0	0	0	0
Xlr5b	0	0	0	0	0	0
